,title,year,category,result
14416,footloose,1984,editing,O
14417,ghostbusters,1984,editing,O
14418,2010,1984,editing,O
14419,dune,1984,editing,O
14420,the cotton club,1984,editing,N
14421,romancing the stone,1984,editing,N
14422,out of africa,1985,editing,N
14423,the color purple,1985,editing,O
14424,kiss of the spider woman,1985,editing,O
14425,prizzi's honor,1985,editing,N
14426,witness,1985,editing,W
14427,ran,1985,editing,O
14428,murphy's romance,1985,editing,O
14429,runaway train,1985,editing,N
14430,the trip to bountiful,1985,editing,O
14431,agnes of god,1985,editing,O
14432,sweet dreams,1985,editing,O
14433,cocoon,1985,editing,O
14434,jagged edge,1985,editing,O
14435,twice in a lifetime,1985,editing,O
14436,back to the future,1985,editing,W
14437,brazil,1985,editing,O
14438,the official story,1985,editing,O
14439,the purple rose of cairo,1985,editing,O
14440,silverado,1985,editing,O
14441,white nights,1985,editing,O
14442,a chorus line,1985,editing,N
14443,ladyhawke,1985,editing,N
14444,rambo: first blood part ii,1985,editing,N
14445,the journey of natty gann,1985,editing,O
14446,return to oz,1985,editing,O
14447,young sherlock holmes,1985,editing,O
14448,platoon,1986,editing,W
14449,children of a lesser god,1986,editing,O
14450,hannah and her sisters,1986,editing,N
14451,the mission,1986,editing,N
14452,a room with a view,1986,editing,O
14453,blue velvet,1986,editing,O
14454,the color of money,1986,editing,O
14455,round midnight,1986,editing,O
14456,mona lisa,1986,editing,O
14457,salvador,1986,editing,O
14458,the morning after,1986,editing,O
14459,crimes of the heart,1986,editing,O
14460,peggy sue got married,1986,editing,O
14461,aliens,1986,editing,N
14462,hoosiers,1986,editing,O
14463,crocodile dundee,1986,editing,O
14464,my beautiful laundrette,1986,editing,O
14465,stand by me,1986,editing,O
14466,star trek iv: the voyage home,1986,editing,N
14467,top gun,1986,editing,N
14468,the karate kid part ii,1986,editing,O
14469,that's life!,1986,editing,O
14470,little shop of horrors,1986,editing,O
14471,an american tail,1986,editing,O
14472,heartbreak ridge,1986,editing,O
14473,otello,1986,editing,O
14474,pirates,1986,editing,O
14475,poltergeist ii: the other side,1986,editing,O
14476,the last emperor,1987,editing,W
14477,broadcast news,1987,editing,N
14478,fatal attraction,1987,editing,N
14479,hope and glory,1987,editing,O
14480,moonstruck,1987,editing,O
14481,my life as a dog,1987,editing,O
14482,wall street,1987,editing,O
14483,dark eyes,1987,editing,O
14484,ironweed,1987,editing,O
14485,"good morning, vietnam",1987,editing,O
14486,anna,1987,editing,O
14487,the untouchables,1987,editing,O
14488,street smart,1987,editing,O
14489,cry freedom,1987,editing,O
14490,gaby: a true story,1987,editing,O
14491,throw momma from the train,1987,editing,O
14492,the whales of august,1987,editing,O
14493,au revoir les enfants,1987,editing,O
14494,radio days,1987,editing,O
14495,the dead,1987,editing,O
14496,full metal jacket,1987,editing,O
14497,empire of the sun,1987,editing,N
14498,the witches of eastwick,1987,editing,O
14499,dirty dancing,1987,editing,O
14500,mannequin,1987,editing,O
14501,beverly hills cop ii,1987,editing,O
14502,the princess bride,1987,editing,O
14503,lethal weapon,1987,editing,O
14504,robocop,1987,editing,N
14505,matewan,1987,editing,O
14506,maurice,1987,editing,O
14507,innerspace,1987,editing,O
14508,predator,1987,editing,O
14509,rain man,1988,editing,N
14510,the accidental tourist,1988,editing,O
14511,dangerous liaisons,1988,editing,O
14512,mississippi burning,1988,editing,N
14513,working girl,1988,editing,O
14514,a fish called wanda,1988,editing,O
14515,the last temptation of christ,1988,editing,O
14516,big,1988,editing,O
14517,stand and deliver,1988,editing,O
14518,pelle the conqueror,1988,editing,O
14519,the accused,1988,editing,O
14520,a cry in the dark,1988,editing,O
14521,gorillas in the mist,1988,editing,N
14522,little dorrit,1988,editing,O
14523,tucker: the man and his dream,1988,editing,O
14524,running on empty,1988,editing,O
14525,married to the mob,1988,editing,O
14526,bull durham,1988,editing,O
14527,the unbearable lightness of being,1988,editing,O
14528,the milagro beanfield war,1988,editing,O
14529,bagdad cafe,1988,editing,O
14530,buster,1988,editing,O
14531,bird,1988,editing,O
14532,die hard,1988,editing,N
14533,who framed roger rabbit,1988,editing,W
14534,willow,1988,editing,N
14535,beaches,1988,editing,O
14536,coming to america,1988,editing,O
14537,a handful of dust,1988,editing,O
14538,sunset,1988,editing,O
14539,tequila sunrise,1988,editing,O
14540,driving miss daisy,1989,editing,N
14541,born on the fourth of july,1989,editing,W
14542,dead poets society,1989,editing,O
14543,field of dreams,1989,editing,O
14544,my left foot,1989,editing,O
14545,crimes and misdemeanors,1989,editing,O
14546,henry v,1989,editing,O
14547,camille claudel,1989,editing,O
14548,shirley valentine,1989,editing,O
14549,music box,1989,editing,O
14550,the fabulous baker boys,1989,editing,N
14551,glory,1989,editing,N
14552,do the right thing,1989,editing,O
14553,a dry white season,1989,editing,O
14554,"enemies, a love story",1989,editing,O
14555,steel magnolias,1989,editing,O
14556,parenthood,1989,editing,O
14557,"sex, lies, and videotape",1989,editing,O
14558,when harry met sally...,1989,editing,O
14559,the little mermaid,1989,editing,O
14560,indiana jones and the last crusade,1989,editing,W
14561,chances are,1989,editing,O
14562,black rain,1989,editing,N
14563,lethal weapon 2,1989,editing,N
14564,the abyss,1989,editing,O
14565,batman,1989,editing,O
14566,the adventures of baron munchausen,1989,editing,O
14567,blaze,1989,editing,O
14568,harlem nights,1989,editing,O
14569,valmont,1989,editing,O
14570,the bear,1989,editing,N
14571,back to the future part ii,1989,editing,O
14572,dances with wolves,1990,editing,W
14573,awakenings,1990,editing,O
14574,ghost,1990,editing,N
14575,the godfather part iii,1990,editing,N
14576,goodfellas,1990,editing,N
14577,the grifters,1990,editing,O
14578,reversal of fortune,1990,editing,O
14579,cyrano de bergerac,1990,editing,O
14580,the field,1990,editing,O
14581,misery,1990,editing,O
14582,pretty woman,1990,editing,O
14583,postcards from the edge,1990,editing,O
14584,mr. and mrs. bridge,1990,editing,O
14585,longtime companion,1990,editing,O
14586,dick tracy,1990,editing,O
14587,wild at heart,1990,editing,O
14588,alice,1990,editing,O
14589,avalon,1990,editing,O
14590,green card,1990,editing,O
14591,metropolitan,1990,editing,O
14592,havana,1990,editing,O
14593,home alone,1990,editing,O
14594,young guns ii,1990,editing,O
14595,days of thunder,1990,editing,O
14596,the hunt for red october,1990,editing,N
14597,total recall,1990,editing,N
14598,flatliners,1990,editing,N
14599,hamlet,1990,editing,O
14600,henry & june,1990,editing,O
14601,the silence of the lambs,1991,editing,N
14602,beauty and the beast,1991,editing,O
14603,bugsy,1991,editing,O
14604,jfk,1991,editing,W
14605,the prince of tides,1991,editing,O
14606,boyz n the hood,1991,editing,O
14607,thelma & louise,1991,editing,N
14608,cape fear,1991,editing,O
14609,the fisher king,1991,editing,O
14610,rambling rose,1991,editing,O
14611,for the boys,1991,editing,O
14612,city slickers,1991,editing,O
14613,barton fink,1991,editing,O
14614,fried green tomatoes,1991,editing,O
14615,grand canyon,1991,editing,O
14616,europa europa,1991,editing,O
14617,robin hood: prince of thieves,1991,editing,O
14618,hook,1991,editing,O
14619,terminator 2: judgment day,1991,editing,N
14620,backdraft,1991,editing,N
14621,star trek vi: the undiscovered country,1991,editing,N
14622,the addams family,1991,editing,O
14623,madame bovary,1991,editing,O
14624,the commitments,1991,editing,N
14625,unforgiven,1992,editing,W
14626,the crying game,1992,editing,N
14627,a few good men,1992,editing,N
14628,howards end,1992,editing,O
14629,scent of a woman,1992,editing,O
14630,the player,1992,editing,N
14631,chaplin,1992,editing,O
14632,malcolm x,1992,editing,O
14633,indochine,1992,editing,O
14634,passion fish,1992,editing,O
14635,love field,1992,editing,O
14636,lorenzo's oil,1992,editing,O
14637,glengarry glen ross,1992,editing,O
14638,mr. saturday night,1992,editing,O
14639,my cousin vinny,1992,editing,O
14640,husbands and wives,1992,editing,O
14641,enchanted april,1992,editing,O
14642,damage,1992,editing,O
14643,a river runs through it,1992,editing,O
14644,aladdin,1992,editing,N
14645,basic instinct,1992,editing,N
14646,the bodyguard,1992,editing,O
14647,the mambo kings,1992,editing,O
14648,bram stoker's dracula,1992,editing,W
14649,under siege,1992,editing,N
14650,the last of the mohicans,1992,editing,O
14651,toys,1992,editing,O
14652,hoffa,1992,editing,O
14653,the lover,1992,editing,O
14654,death becomes her,1992,editing,O
14655,alien³,1992,editing,O
14656,batman returns,1992,editing,O
14657,schindler's list,1993,editing,W
14658,the fugitive,1993,editing,N
14659,in the name of the father,1993,editing,N
14660,the piano,1993,editing,N
14661,the remains of the day,1993,editing,O
14662,short cuts,1993,editing,O
14663,philadelphia,1993,editing,O
14664,what's love got to do with it,1993,editing,O
14665,six degrees of separation,1993,editing,O
14666,shadowlands,1993,editing,O
14667,what's eating gilbert grape,1993,editing,O
14668,in the line of fire,1993,editing,N
14669,the firm,1993,editing,O
14670,fearless,1993,editing,O
14671,the age of innocence,1993,editing,O
14672,dave,1993,editing,O
14673,sleepless in seattle,1993,editing,O
14674,poetic justice,1993,editing,O
14675,beethoven's 2nd,1993,editing,O
14676,jurassic park,1993,editing,W
14677,cliffhanger,1993,editing,N
14678,geronimo: an american legend,1993,editing,O
14679,addams family values,1993,editing,O
14680,orlando,1993,editing,O
14681,farewell my concubine,1993,editing,O
14682,searching for bobby fischer,1993,editing,O
14683,the nightmare before christmas,1993,editing,O
14684,forrest gump,1994,editing,W
14685,four weddings and a funeral,1994,editing,O
14686,pulp fiction,1994,editing,N
14687,quiz show,1994,editing,O
14688,the shawshank redemption,1994,editing,N
14689,bullets over broadway,1994,editing,O
14690,red,1994,editing,O
14691,the madness of king george,1994,editing,O
14692,nobody's fool,1994,editing,O
14693,blue sky,1994,editing,O
14694,nell,1994,editing,O
14695,tom & viv,1994,editing,O
14696,little women,1994,editing,O
14697,the client,1994,editing,O
14698,ed wood,1994,editing,O
14699,heavenly creatures,1994,editing,O
14700,the lion king,1994,editing,O
14701,interview with the vampire,1994,editing,O
14702,junior,1994,editing,O
14703,the paper,1994,editing,O
14704,speed,1994,editing,N
14705,clear and present danger,1994,editing,N
14706,legends of the fall,1994,editing,O
14707,wyatt earp,1994,editing,O
14708,"the adventures of priscilla, queen of the desert",1994,editing,O
14709,maverick,1994,editing,O
14710,queen margot,1994,editing,O
14711,hoop dreams,1994,editing,N
14712,the mask,1994,editing,O
14713,true lies,1994,editing,O
14714,braveheart,1995,editing,N
14715,apollo 13,1995,editing,W
14716,babe,1995,editing,N
14717,il postino: the postman,1995,editing,O
14718,sense and sensibility,1995,editing,O
14719,dead man walking,1995,editing,O
14720,leaving las vegas,1995,editing,O
14721,mr. holland's opus,1995,editing,O
14722,nixon,1995,editing,O
14723,casino,1995,editing,O
14724,the bridges of madison county,1995,editing,O
14725,the usual suspects,1995,editing,O
14726,12 monkeys,1995,editing,O
14727,rob roy,1995,editing,O
14728,mighty aphrodite,1995,editing,O
14729,georgia,1995,editing,O
14730,toy story,1995,editing,O
14731,pocahontas,1995,editing,O
14732,the american president,1995,editing,O
14733,sabrina,1995,editing,O
14734,unstrung heroes,1995,editing,O
14735,don juan demarco,1995,editing,O
14736,batman forever,1995,editing,N
14737,crimson tide,1995,editing,N
14738,waterworld,1995,editing,O
14739,restoration,1995,editing,O
14740,a little princess,1995,editing,O
14741,richard iii,1995,editing,O
14742,shanghai triad,1995,editing,O
14743,seven,1995,editing,N
14744,the english patient,1996,editing,W
14745,fargo,1996,editing,N
14746,jerry maguire,1996,editing,N
14747,secrets & lies,1996,editing,O
14748,shine,1996,editing,N
14749,the people vs. larry flynt,1996,editing,O
14750,sling blade,1996,editing,O
14751,marvin's room,1996,editing,O
14752,breaking the waves,1996,editing,O
14753,primal fear,1996,editing,O
14754,ghosts of mississippi,1996,editing,O
14755,the crucible,1996,editing,O
14756,the mirror has two faces,1996,editing,O
14757,the portrait of a lady,1996,editing,O
14758,lone star,1996,editing,O
14759,hamlet,1996,editing,O
14760,trainspotting,1996,editing,O
14761,michael collins,1996,editing,O
14762,sleepers,1996,editing,O
14763,emma,1996,editing,O
14764,the first wives club,1996,editing,O
14765,the hunchback of notre dame,1996,editing,O
14766,james and the giant peach,1996,editing,O
14767,the preacher's wife,1996,editing,O
14768,evita,1996,editing,N
14769,one fine day,1996,editing,O
14770,that thing you do!,1996,editing,O
14771,up close and personal,1996,editing,O
14772,the ghost and the darkness,1996,editing,W
14773,daylight,1996,editing,N
14774,eraser,1996,editing,N
14775,independence day,1996,editing,O
14776,the rock,1996,editing,O
14777,twister,1996,editing,O
14778,the birdcage,1996,editing,O
14779,romeo + juliet,1996,editing,O
14780,fly away home,1996,editing,O
14781,angels & insects,1996,editing,O
14782,dragonheart,1996,editing,O
14783,titanic,1997,editing,W
14784,as good as it gets,1997,editing,N
14785,the full monty,1997,editing,O
14786,good will hunting,1997,editing,N
14787,l.a. confidential,1997,editing,N
14788,the sweet hereafter,1997,editing,O
14789,the apostle,1997,editing,O
14790,ulee's gold,1997,editing,O
14791,wag the dog,1997,editing,O
14792,the wings of the dove,1997,editing,O
14793,afterglow,1997,editing,O
14794,mrs brown,1997,editing,O
14795,jackie brown,1997,editing,O
14796,amistad,1997,editing,O
14797,boogie nights,1997,editing,O
14798,in & out,1997,editing,O
14799,deconstructing harry,1997,editing,O
14800,donnie brasco,1997,editing,O
14801,kundun,1997,editing,O
14802,anastasia,1997,editing,O
14803,men in black,1997,editing,O
14804,my best friend's wedding,1997,editing,O
14805,hercules,1997,editing,O
14806,con air,1997,editing,O
14807,face/off,1997,editing,N
14808,the fifth element,1997,editing,N
14809,air force one,1997,editing,N
14810,contact,1997,editing,O
14811,gattaca,1997,editing,O
14812,oscar and lucinda,1997,editing,O
14813,the lost world: jurassic park,1997,editing,O
14814,starship troopers,1997,editing,O
14815,shakespeare in love,1998,editing,N
14816,elizabeth,1998,editing,O
14817,life is beautiful,1998,editing,N
14818,saving private ryan,1998,editing,W
14819,the thin red line,1998,editing,N
14820,the truman show,1998,editing,O
14821,gods and monsters,1998,editing,O
14822,affliction,1998,editing,O
14823,american history x,1998,editing,O
14824,central station,1998,editing,O
14825,one true thing,1998,editing,O
14826,hilary and jackie,1998,editing,O
14827,a civil action,1998,editing,O
14828,a simple plan,1998,editing,O
14829,primary colors,1998,editing,O
14830,little voice,1998,editing,O
14831,bulworth,1998,editing,O
14832,out of sight,1998,editing,N
14833,the prince of egypt,1998,editing,O
14834,armageddon,1998,editing,N
14835,babe: pig in the city,1998,editing,O
14836,the horse whisperer,1998,editing,O
14837,quest for camelot,1998,editing,O
14838,pleasantville,1998,editing,O
14839,a bug's life,1998,editing,O
14840,mulan,1998,editing,O
14841,patch adams,1998,editing,O
14842,the mask of zorro,1998,editing,N
14843,what dreams may come,1998,editing,O
14844,beloved,1998,editing,O
14845,velvet goldmine,1998,editing,O
14846,mighty joe young,1998,editing,O
14847,american beauty,1999,editing,N
14848,the cider house rules,1999,editing,N
14849,the green mile,1999,editing,O
14850,the insider,1999,editing,N
14851,the sixth sense,1999,editing,N
14852,being john malkovich,1999,editing,O
14853,the straight story,1999,editing,O
14854,sweet and lowdown,1999,editing,O
14855,the hurricane,1999,editing,O
14856,boys don't cry,1999,editing,O
14857,tumbleweeds,1999,editing,O
14858,the end of the affair,1999,editing,O
14859,music of the heart,1999,editing,O
14860,magnolia,1999,editing,O
14861,the talented mr. ripley,1999,editing,O
14862,"girl, interrupted",1999,editing,O
14863,topsy-turvy,1999,editing,O
14864,election,1999,editing,O
14865,the red violin,1999,editing,O
14866,angela's ashes,1999,editing,O
14867,tarzan,1999,editing,O
14868,"south park: bigger, longer & uncut",1999,editing,O
14869,toy story 2,1999,editing,O
14870,the matrix,1999,editing,W
14871,fight club,1999,editing,N
14872,star wars: episode i  the phantom menace,1999,editing,N
14873,the mummy,1999,editing,O
14874,sleepy hollow,1999,editing,O
14875,anna and the king,1999,editing,O
14876,snow falling on cedars,1999,editing,O
14877,titus,1999,editing,O
14878,stuart little,1999,editing,O
14879,gladiator,2000,editing,N
14880,chocolat,2000,editing,O
14881,"crouching tiger, hidden dragon",2000,editing,N
14882,erin brockovich,2000,editing,O
14883,traffic,2000,editing,W
14884,billy elliot,2000,editing,O
14885,before night falls,2000,editing,O
14886,cast away,2000,editing,O
14887,pollock,2000,editing,O
14888,quills,2000,editing,O
14889,the contender,2000,editing,O
14890,requiem for a dream,2000,editing,O
14891,you can count on me,2000,editing,O
14892,shadow of the vampire,2000,editing,O
14893,almost famous,2000,editing,N
14894,"o brother, where art thou?",2000,editing,O
14895,wonder boys,2000,editing,N
14896,malèna,2000,editing,O
14897,the patriot,2000,editing,O
14898,meet the parents,2000,editing,O
14899,dancer in the dark,2000,editing,O
14900,the emperor's new groove,2000,editing,O
14901,u-571,2000,editing,W
14902,space cowboys,2000,editing,N
14903,the perfect storm,2000,editing,O
14904,how the grinch stole christmas,2000,editing,O
14905,vatel,2000,editing,O
14906,102 dalmatians,2000,editing,O
14907,hollow man,2000,editing,O
14908,a beautiful mind,2001,editing,N
14909,gosford park,2001,editing,O
14910,in the bedroom,2001,editing,O
14911,the lord of the rings: the fellowship of the ring,2001,editing,N
14912,moulin rouge!,2001,editing,N
14913,black hawk down,2001,editing,W
14914,mulholland drive,2001,editing,O
14915,training day,2001,editing,O
14916,i am sam,2001,editing,O
14917,ali,2001,editing,O
14918,monster's ball,2001,editing,O
14919,iris,2001,editing,O
14920,bridget jones's diary,2001,editing,O
14921,sexy beast,2001,editing,O
14922,amélie,2001,editing,O
14923,memento,2001,editing,N
14924,the royal tenenbaums,2001,editing,O
14925,ghost world,2001,editing,O
14926,shrek,2001,editing,O
14927,a.i. artificial intelligence,2001,editing,O
14928,harry potter and the sorcerer's stone,2001,editing,O
14929,"monsters, inc.",2001,editing,N
14930,pearl harbor,2001,editing,W
14931,kate & leopold,2001,editing,O
14932,vanilla sky,2001,editing,O
14933,the man who wasn't there,2001,editing,O
14934,the affair of the necklace,2001,editing,O
14935,chicago,2002,editing,W
14936,gangs of new york,2002,editing,N
14937,the hours,2002,editing,N
14938,the lord of the rings: the two towers,2002,editing,N
14939,the pianist,2002,editing,N
14940,talk to her,2002,editing,O
14941,adaptation,2002,editing,O
14942,the quiet american,2002,editing,O
14943,about schmidt,2002,editing,O
14944,frida,2002,editing,O
14945,unfaithful,2002,editing,O
14946,far from heaven,2002,editing,O
14947,road to perdition,2002,editing,N
14948,catch me if you can,2002,editing,O
14949,my big fat greek wedding,2002,editing,O
14950,y tu mamá también,2002,editing,O
14951,about a boy,2002,editing,O
14952,8 mile,2002,editing,O
14953,the wild thornberrys movie,2002,editing,O
14954,minority report,2002,editing,N
14955,spider-man,2002,editing,O
14956,star wars: episode ii  attack of the clones,2002,editing,O
14957,the lord of the rings: the return of the king,2003,editing,W
14958,lost in translation,2003,editing,O
14959,master and commander: the far side of the world,2003,editing,N
14960,mystic river,2003,editing,O
14961,seabiscuit,2003,editing,N
14962,city of god,2003,editing,N
14963,pirates of the caribbean: the curse of the black pearl,2003,editing,N
14964,house of sand and fog,2003,editing,O
14965,cold mountain,2003,editing,N
14966,monster,2003,editing,O
14967,whale rider,2003,editing,O
14968,something's gotta give,2003,editing,O
14969,in america,2003,editing,O
14970,21 grams,2003,editing,O
14971,the cooler,2003,editing,O
14972,the last samurai,2003,editing,O
14973,pieces of april,2003,editing,O
14974,thirteen,2003,editing,O
14975,the barbarian invasions,2003,editing,O
14976,dirty pretty things,2003,editing,O
14977,finding nemo,2003,editing,N
14978,american splendor,2003,editing,O
14979,big fish,2003,editing,O
14980,the triplets of belleville,2003,editing,O
14981,a mighty wind,2003,editing,O
14982,girl with a pearl earring,2003,editing,O
14983,million dollar baby,2004,editing,N
14984,the aviator,2004,editing,W
14985,finding neverland,2004,editing,N
14986,ray,2004,editing,N
14987,sideways,2004,editing,O
14988,vera drake,2004,editing,O
14989,hotel rwanda,2004,editing,O
14990,being julia,2004,editing,O
14991,maria full of grace,2004,editing,O
14992,eternal sunshine of the spotless mind,2004,editing,O
14993,collateral,2004,editing,N
14994,closer,2004,editing,O
14995,kinsey,2004,editing,O
14996,the incredibles,2004,editing,W
14997,before sunset,2004,editing,O
14998,the motorcycle diaries,2004,editing,O
14999,harry potter and the prisoner of azkaban,2004,editing,O
15000,lemony snicket's a series of unfortunate events,2004,editing,O
15001,the passion of the christ,2004,editing,O
15002,the village,2004,editing,O
15003,shrek 2,2004,editing,O
15004,the polar express,2004,editing,N
15005,the phantom of the opera,2004,editing,O
15006,the chorus,2004,editing,O
15007,spider-man 2,2004,editing,N
15008,a very long engagement,2004,editing,O
15009,house of flying daggers,2004,editing,O
15010,troy,2004,editing,O
15011,"i, robot",2004,editing,O
15012,crash,2005,editing,W
15013,brokeback mountain,2005,editing,O
15014,capote,2005,editing,O
15015,"good night, and good luck",2005,editing,O
15016,munich,2005,editing,N
15017,hustle & flow,2005,editing,O
15018,walk the line,2005,editing,N
15019,mrs henderson presents,2005,editing,O
15020,transamerica,2005,editing,O
15021,pride & prejudice,2005,editing,O
15022,north country,2005,editing,O
15023,syriana,2005,editing,O
15024,cinderella man,2005,editing,N
15025,a history of violence,2005,editing,O
15026,the constant gardener,2005,editing,N
15027,junebug,2005,editing,O
15028,match point,2005,editing,O
15029,the squid and the whale,2005,editing,O
15030,memoirs of a geisha,2005,editing,N
15031,king kong,2005,editing,W
15032,war of the worlds,2005,editing,N
15033,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,editing,O
15034,harry potter and the goblet of fire,2005,editing,O
15035,batman begins,2005,editing,O
15036,the new world,2005,editing,O
15037,charlie and the chocolate factory,2005,editing,O
15038,the departed,2006,editing,W
15039,babel,2006,editing,N
15040,letters from iwo jima,2006,editing,W
15041,little miss sunshine,2006,editing,O
15042,the queen,2006,editing,O
15043,united 93,2006,editing,N
15044,the last king of scotland,2006,editing,O
15045,blood diamond,2006,editing,N
15046,half nelson,2006,editing,O
15047,venus,2006,editing,O
15048,the pursuit of happyness,2006,editing,O
15049,volver,2006,editing,O
15050,notes on a scandal,2006,editing,O
15051,the devil wears prada,2006,editing,O
15052,little children,2006,editing,O
15053,dreamgirls,2006,editing,O
15054,pan's labyrinth,2006,editing,O
15055,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,editing,O
15056,children of men,2006,editing,N
15057,the good german,2006,editing,O
15058,an inconvenient truth,2006,editing,O
15059,cars,2006,editing,O
15060,apocalypto,2006,editing,N
15061,flags of our fathers,2006,editing,N
15062,pirates of the caribbean: dead man's chest,2006,editing,N
15063,the good shepherd,2006,editing,O
15064,the prestige,2006,editing,O
15065,the black dahlia,2006,editing,O
15066,the illusionist,2006,editing,O
15067,marie antoinette,2006,editing,O
15068,curse of the golden flower,2006,editing,O
15069,poseidon,2006,editing,O
15070,superman returns,2006,editing,O
15071,no country for old men,2007,editing,N
15072,atonement,2007,editing,O
15073,juno,2007,editing,O
15074,michael clayton,2007,editing,O
15075,there will be blood,2007,editing,N
15076,the diving bell and the butterfly,2007,editing,N
15077,sweeney todd: the demon barber of fleet street,2007,editing,O
15078,in the valley of elah,2007,editing,O
15079,eastern promises,2007,editing,O
15080,la vie en rose,2007,editing,O
15081,elizabeth: the golden age,2007,editing,O
15082,away from her,2007,editing,O
15083,the savages,2007,editing,O
15084,the assassination of jesse james by the coward robert ford,2007,editing,O
15085,charlie wilson's war,2007,editing,O
15086,into the wild,2007,editing,N
15087,i'm not there,2007,editing,O
15088,american gangster,2007,editing,O
15089,gone baby gone,2007,editing,O
15090,lars and the real girl,2007,editing,O
15091,ratatouille,2007,editing,N
15092,3:10 to yuma,2007,editing,O
15093,the kite runner,2007,editing,O
15094,once,2007,editing,O
15095,enchanted,2007,editing,O
15096,august rush,2007,editing,O
15097,the bourne ultimatum,2007,editing,W
15098,transformers,2007,editing,N
15099,the golden compass,2007,editing,O
15100,across the universe,2007,editing,O
15101,pirates of the caribbean: at world's end,2007,editing,O
15102,slumdog millionaire,2008,editing,W
15103,the curious case of benjamin button,2008,editing,N
15104,frost/nixon,2008,editing,N
15105,milk,2008,editing,N
15106,the reader,2008,editing,O
15107,the visitor,2008,editing,O
15108,the wrestler,2008,editing,O
15109,rachel getting married,2008,editing,O
15110,changeling,2008,editing,O
15111,frozen river,2008,editing,O
15112,doubt,2008,editing,O
15113,the dark knight,2008,editing,N
15114,tropic thunder,2008,editing,O
15115,revolutionary road,2008,editing,O
15116,vicky cristina barcelona,2008,editing,O
15117,happy-go-lucky,2008,editing,O
15118,in bruges,2008,editing,O
15119,wall-e,2008,editing,N
15120,defiance,2008,editing,O
15121,iron man,2008,editing,N
15122,wanted,2008,editing,N
15123,the duchess,2008,editing,O
15124,australia,2008,editing,O
15125,the hurt locker,2008,editing,W
15126,avatar,2009,editing,N
15127,the blind side,2009,editing,O
15128,district 9,2009,editing,N
15129,an education,2009,editing,O
15130,inglourious basterds,2009,editing,N
15131,precious: based on the novel 'push' by sapphire,2009,editing,N
15132,a serious man,2009,editing,O
15133,up,2009,editing,N
15134,up in the air,2009,editing,O
15135,crazy heart,2009,editing,O
15136,a single man,2009,editing,O
15137,invictus,2009,editing,O
15138,the last station,2009,editing,O
15139,julie & julia,2009,editing,O
15140,the messenger,2009,editing,O
15141,the lovely bones,2009,editing,O
15142,nine,2009,editing,O
15143,in the loop,2009,editing,O
15144,fantastic mr. fox,2009,editing,O
15145,sherlock holmes,2009,editing,O
15146,the princess and the frog,2009,editing,O
15147,paris 36,2009,editing,O
15148,star trek,2009,editing,N
15149,transformers: revenge of the fallen,2009,editing,O
15150,the imaginarium of doctor parnassus,2009,editing,O
15151,the young victoria,2009,editing,O
15152,harry potter and the half-blood prince,2009,editing,O
15153,the white ribbon,2009,editing,O
15154,bright star,2009,editing,O
15155,coco before chanel,2009,editing,O
15156,the king's speech,2010,editing,N
15157,127 hours,2010,editing,N
15158,black swan,2010,editing,N
15159,the fighter,2010,editing,N
15160,inception,2010,editing,W
15161,the kids are all right,2010,editing,O
15162,the social network,2010,editing,W
15163,toy story 3,2010,editing,N
15164,true grit,2010,editing,N
15165,winter's bone,2010,editing,O
15166,biutiful,2010,editing,O
15167,rabbit hole,2010,editing,O
15168,blue valentine,2010,editing,O
15169,the town,2010,editing,O
15170,animal kingdom,2010,editing,O
15171,another year,2010,editing,O
15172,how to train your dragon,2010,editing,O
15173,country strong,2010,editing,O
15174,tangled,2010,editing,O
15175,tron: legacy,2010,editing,N
15176,unstoppable,2010,editing,N
15177,salt,2010,editing,O
15178,alice in wonderland,2010,editing,O
15179,harry potter and the deathly hallows  part 1,2010,editing,O
15180,i am love,2010,editing,O
15181,the tempest,2010,editing,O
15182,hereafter,2010,editing,O
15183,iron man 2,2010,editing,O
15184,the artist,2011,editing,N
15185,the descendants,2011,editing,N
15186,extremely loud & incredibly close,2011,editing,O
15187,the help,2011,editing,O
15188,hugo,2011,editing,N
15189,midnight in paris,2011,editing,O
15190,moneyball,2011,editing,N
15191,the tree of life,2011,editing,O
15192,war horse,2011,editing,N
15193,a better life,2011,editing,O
15194,tinker tailor soldier spy,2011,editing,O
15195,the iron lady,2011,editing,O
15196,albert nobbs,2011,editing,O
15197,the girl with the dragon tattoo,2011,editing,W
15198,my week with marilyn,2011,editing,O
15199,beginners,2011,editing,O
15200,warrior,2011,editing,O
15201,bridesmaids,2011,editing,O
15202,margin call,2011,editing,O
15203,a separation,2011,editing,O
15204,the ides of march,2011,editing,O
15205,the adventures of tintin,2011,editing,O
15206,the muppets,2011,editing,O
15207,rio,2011,editing,O
15208,drive,2011,editing,N
15209,transformers: dark of the moon,2011,editing,N
15210,harry potter and the deathly hallows  part 2,2011,editing,O
15211,anonymous,2011,editing,O
15212,jane eyre,2011,editing,O
15213,w.e.,2011,editing,O
15214,real steel,2011,editing,O
15215,rise of the planet of the apes,2011,editing,O
15216,argo,2012,editing,W
15217,amour,2012,editing,O
15218,beasts of the southern wild,2012,editing,O
15219,django unchained,2012,editing,N
